B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_S1_30K	rho_S1_30K
	 nan	7.9144	1.0053	 8.0361e+00	 1.0012e+00	24.132	 1.0586e+00
	 nan	7.9214	1.0053	 8.0433e+00	 1.0012e+00	24.152	 1.0587e+00
	 nan	7.9285	1.0053	 8.0504e+00	 1.0012e+00	24.171	 1.0585e+00
	 nan	7.9356	1.0053	 8.0576e+00	 1.0012e+00	24.19	 1.0586e+00
	 nan	7.9426	1.0053	 8.0648e+00	 1.0012e+00	24.21	 1.0586e+00
	 nan	7.9497	1.0053	 8.0720e+00	 1.0012e+00	24.229	 1.0586e+00
	 nan	7.9568	1.0053	 8.0792e+00	 1.0012e+00	24.249	 1.0586e+00
	 nan	7.9639	1.0053	 8.0865e+00	 1.0012e+00	24.268	 1.0585e+00
	 nan	7.971	1.0053	 8.0937e+00	 1.0012e+00	24.288	 1.0587e+00
	 nan	7.9781	1.0054	 8.1009e+00	 1.0012e+00	24.307	 1.0586e+00
	 nan	7.9852	1.0053	 8.1082e+00	 1.0012e+00	24.326	 1.0587e+00
	 nan	7.9923	1.0054	 8.1154e+00	 1.0012e+00	24.346	 1.0587e+00
	 nan	7.9994	1.0054	 8.1227e+00	 1.0011e+00	24.365	 1.0588e+00
	 nan	8.0066	1.0054	 8.1299e+00	 1.0011e+00	24.385	 1.0589e+00
	 nan	8.0137	1.0054	 8.1372e+00	 1.0011e+00	24.404	 1.0590e+00
	 nan	8.0208	1.0054	 8.1444e+00	 1.0011e+00	24.424	 1.0592e+00
	 nan	8.028	1.0055	 8.1517e+00	 1.0011e+00	24.444	 1.0592e+00
	 nan	8.0351	1.0054	 8.1590e+00	 1.0010e+00	24.463	 1.0595e+00
	 nan	8.0423	1.0055	 8.1662e+00	 1.0010e+00	24.483	 1.0596e+00
	 nan	8.0495	1.0055	 8.1735e+00	 1.0010e+00	24.502	 1.0598e+00
	 nan	8.0566	1.0054	 8.1808e+00	 1.0010e+00	24.522	 1.0600e+00
	 nan	8.0638	1.0055	 8.1881e+00	 1.0010e+00	24.541	 1.0601e+00
	 nan	8.071	1.0054	 8.1954e+00	 1.0010e+00	24.561	 1.0604e+00
	 nan	8.0782	1.0054	 8.2027e+00	 1.0010e+00	24.581	 1.0605e+00
	 nan	8.0854	1.0054	 8.2101e+00	 1.0010e+00	24.6	 1.0608e+00
	 nan	8.0925	1.0054	 8.2174e+00	 1.0010e+00	24.62	 1.0609e+00
	 nan	8.0998	1.0054	 8.2247e+00	 1.0010e+00	24.64	 1.0611e+00
	 nan	8.107	1.0053	 8.2320e+00	 1.0011e+00	24.66	 1.0613e+00
	 nan	8.1142	1.0053	 8.2393e+00	 1.0011e+00	24.679	 1.0614e+00
	 nan	8.1214	1.0053	 8.2467e+00	 1.0011e+00	24.699	 1.0616e+00
	 nan	8.1286	1.0053	 8.2540e+00	 1.0011e+00	24.719	 1.0616e+00
	 nan	8.1358	1.0052	 8.2614e+00	 1.0011e+00	24.738	 1.0618e+00
	 nan	8.1431	1.0052	 8.2687e+00	 1.0012e+00	24.758	 1.0618e+00
	 nan	8.1503	1.0052	 8.2761e+00	 1.0012e+00	24.778	 1.0619e+00
	 nan	8.1576	1.0052	 8.2835e+00	 1.0012e+00	24.798	 1.0619e+00
	 nan	8.1648	1.0052	 8.2909e+00	 1.0012e+00	24.817	 1.0619e+00
	 nan	8.1721	1.0051	 8.2982e+00	 1.0012e+00	24.837	 1.0621e+00
	 nan	8.1794	1.0052	 8.3056e+00	 1.0013e+00	24.857	 1.0620e+00
	 nan	8.1867	1.0051	 8.3131e+00	 1.0012e+00	24.877	 1.0621e+00
	 nan	8.1939	1.0051	 8.3205e+00	 1.0013e+00	24.897	 1.0621e+00
	 nan	8.2012	1.0051	 8.3279e+00	 1.0012e+00	24.917	 1.0622e+00
	 nan	8.2085	1.0051	 8.3353e+00	 1.0012e+00	24.936	 1.0622e+00
	 nan	8.2158	1.0051	 8.3427e+00	 1.0012e+00	24.956	 1.0622e+00
	 nan	8.2232	1.0051	 8.3502e+00	 1.0012e+00	24.976	 1.0623e+00
	 nan	8.2305	1.0051	 8.3576e+00	 1.0012e+00	24.996	 1.0622e+00
	 nan	8.2378	1.0051	 8.3651e+00	 1.0012e+00	25.016	 1.0624e+00
	 nan	8.2451	1.0052	 8.3725e+00	 1.0012e+00	25.036	 1.0623e+00
	 nan	8.2525	1.0052	 8.3800e+00	 1.0011e+00	25.056	 1.0624e+00
	 nan	8.2598	1.0052	 8.3875e+00	 1.0011e+00	25.076	 1.0625e+00
	 nan	8.2672	1.0053	 8.3949e+00	 1.0011e+00	25.096	 1.0625e+00
	 nan	8.2745	1.0053	 8.4024e+00	 1.0011e+00	25.116	 1.0626e+00
	 nan	8.2819	1.0054	 8.4099e+00	 1.0011e+00	25.136	 1.0626e+00
	 nan	8.2893	1.0054	 8.4174e+00	 1.0010e+00	25.156	 1.0628e+00
	 nan	8.2966	1.0055	 8.4249e+00	 1.0010e+00	25.176	 1.0628e+00
	 nan	8.304	1.0056	 8.4324e+00	 1.0010e+00	25.196	 1.0629e+00
	 nan	8.3114	1.0056	 8.4399e+00	 1.0010e+00	25.216	 1.0630e+00
	 nan	8.3188	1.0057	 8.4474e+00	 1.0010e+00	25.236	 1.0630e+00
	 nan	8.3262	1.0057	 8.4549e+00	 1.0010e+00	25.256	 1.0632e+00
	 nan	8.3336	1.0058	 8.4625e+00	 1.0010e+00	25.276	 1.0632e+00
	 nan	8.341	1.0057	 8.4700e+00	 1.0010e+00	25.296	 1.0633e+00
	 nan	8.3484	1.0058	 8.4775e+00	 1.0010e+00	25.316	 1.0633e+00
	 nan	8.3558	1.0058	 8.4851e+00	 1.0010e+00	25.337	 1.0635e+00
	 nan	8.3632	1.0059	 8.4926e+00	 1.0010e+00	25.357	 1.0635e+00
	 nan	8.3706	1.0059	 8.5002e+00	 1.0010e+00	25.377	 1.0636e+00
	 nan	8.3781	1.0059	 8.5077e+00	 1.0011e+00	25.397	 1.0637e+00
	 nan	8.3855	1.006	 8.5153e+00	 1.0011e+00	25.417	 1.0637e+00
	 nan	8.393	1.006	 8.5229e+00	 1.0011e+00	25.437	 1.0638e+00
	 nan	8.4004	1.0061	 8.5305e+00	 1.0011e+00	25.458	 1.0638e+00
	 nan	8.4079	1.0061	 8.5381e+00	 1.0011e+00	25.478	 1.0639e+00
	 nan	8.4154	1.0061	 8.5457e+00	 1.0011e+00	25.498	 1.0640e+00
	 nan	8.4228	1.0061	 8.5533e+00	 1.0011e+00	25.518	 1.0640e+00
	 nan	8.4303	1.0061	 8.5609e+00	 1.0011e+00	25.538	 1.0641e+00
	 nan	8.4378	1.0062	 8.5685e+00	 1.0011e+00	25.559	 1.0641e+00
	 nan	8.4453	1.0061	 8.5761e+00	 1.0011e+00	25.579	 1.0643e+00
	 nan	8.4528	1.0061	 8.5837e+00	 1.0011e+00	25.599	 1.0643e+00
	 nan	8.4603	1.0061	 8.5914e+00	 1.0011e+00	25.62	 1.0645e+00
	 nan	8.4678	1.0061	 8.5990e+00	 1.0011e+00	25.64	 1.0645e+00
	 nan	8.4754	1.0061	 8.6067e+00	 1.0011e+00	25.66	 1.0645e+00
	 nan	8.4829	1.006	 8.6143e+00	 1.0011e+00	25.681	 1.0646e+00
	 nan	8.4904	1.006	 8.6220e+00	 1.0011e+00	25.701	 1.0646e+00
	 nan	8.498	1.0059	 8.6296e+00	 1.0011e+00	25.721	 1.0647e+00
	 nan	8.5055	1.0059	 8.6373e+00	 1.0011e+00	25.742	 1.0647e+00
	 nan	8.513	1.0059	 8.6449e+00	 1.0011e+00	25.762	 1.0648e+00
	 nan	8.5206	1.0058	 8.6526e+00	 1.0011e+00	25.782	 1.0648e+00
	 nan	8.5282	1.0058	 8.6603e+00	 1.0010e+00	25.803	 1.0649e+00
	 nan	8.5357	1.0057	 8.6680e+00	 1.0010e+00	25.823	 1.0649e+00
