B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_Nd_30K	rho_Nd_30K
14.566	 9.8245e-01	0.11573	1.0004	 1.1687e-01	 9.9979e-01	 8.4491e+01	 1.1538e+00
14.576	 9.7913e-01	0.11585	1.0011	 1.1702e-01	 9.9987e-01	 8.4484e+01	 1.1535e+00
14.587	 9.8286e-01	0.11597	0.9993	 1.1717e-01	 9.9997e-01	 8.4478e+01	 1.1535e+00
14.597	 9.8280e-01	0.11608	1.0003	 1.1732e-01	 1.0000e+00	 8.4472e+01	 1.1537e+00
14.608	 9.8373e-01	0.11621	0.99959	 1.1748e-01	 1.0001e+00	 8.4466e+01	 1.1539e+00
14.618	 9.8268e-01	0.11632	1.0006	 1.1763e-01	 1.0001e+00	 8.4460e+01	 1.1540e+00
14.629	 9.8483e-01	0.11644	0.99963	 1.1777e-01	 1.0001e+00	 8.4453e+01	 1.1538e+00
14.639	 9.8588e-01	0.11656	1.0001	 1.1792e-01	 1.0000e+00	 8.4447e+01	 1.1533e+00
14.65	 9.8361e-01	0.11667	1.0004	 1.1807e-01	 9.9993e-01	 8.4440e+01	 1.1528e+00
14.66	 9.8536e-01	0.11678	0.99956	 1.1822e-01	 9.9987e-01	 8.4434e+01	 1.1524e+00
14.671	 9.8437e-01	0.1169	1.0006	 1.1837e-01	 9.9985e-01	 8.4428e+01	 1.1523e+00
14.681	 9.8658e-01	0.11701	0.99986	 1.1853e-01	 9.9989e-01	 8.4421e+01	 1.1525e+00
14.692	 9.8692e-01	0.11713	1.001	 1.1868e-01	 9.9995e-01	 8.4414e+01	 1.1529e+00
14.703	 9.8762e-01	0.11724	0.99992	 1.1883e-01	 1.0001e+00	 8.4408e+01	 1.1533e+00
14.713	 9.8692e-01	0.11735	1.0005	 1.1898e-01	 1.0001e+00	 8.4401e+01	 1.1535e+00
14.724	 9.8832e-01	0.11746	0.99996	 1.1914e-01	 1.0001e+00	 8.4394e+01	 1.1534e+00
14.734	 9.9018e-01	0.11757	1.0001	 1.1929e-01	 1.0001e+00	 8.4387e+01	 1.1531e+00
14.745	 9.8873e-01	0.11768	1.0004	 1.1944e-01	 1.0001e+00	 8.4381e+01	 1.1527e+00
14.755	 9.9099e-01	0.1178	0.99992	 1.1960e-01	 1.0001e+00	 8.4374e+01	 1.1525e+00
14.766	 9.8931e-01	0.11791	1.0013	 1.1975e-01	 1.0001e+00	 8.4367e+01	 1.1524e+00
14.777	 9.9239e-01	0.11802	1.0001	 1.1990e-01	 1.0001e+00	 8.4360e+01	 1.1527e+00
